Origin,Trans
Failed to launch VOCALOID Authorizer.,VOCALOID 激活器启动失败。
Spanish,西班牙语
Failed to create preset file path.,创建预置文件路径失败。
Failed to open file.,打开文件失败。
Japanese,日语
Robot Voice,机械音
Multi Track,多轨
Chinese,中文
Failed to delete Panpot.,删除相位控点失败。
"Failed to shift pitch. Error ",报错:音高移动失败。
Set the current preset to the imported one?,切换到已导入的预置？
Preset,预置
https://www.vocaloid.com/en,"https://www.vocaloid.com/en "
Copy(_C),复制(_C)
Open...,打开...
Failed to initialize Lua Controller.,初始化 Lua 控制器失败。
Add Audio Track(_W),新增音频轨道(_W)
Already assigned to:,快捷键重复
Project Setting,项目设置
Ctrl+A,Ctrl+A
Delete All Audio Effects(_A),删除所有音频效果(_A)
VSQX File...,VSQX 文件...
Stop,停止
Chinese,中文
Overall Drift,整体调整
Track,音轨
Breath,呼吸
Play,播放
Name,名称
Type,类型
Line(_L),直线(_L)
Failed to add note.,添加音符失败。
Original Voice Banks,原音源
Delete the current preset?,你真的想删除此媒体素材吗？此操作不可撤销。
A file with this name already exists. Overwrite existing file?,现有的文件已经存在，覆盖它吗？
Export VPR...,导出 VPR...
Reset,重置
Failed to duplicate Main Volume.,克隆主音轨音量控点失败。
Bypass Effect Plug-ins,旁路效果插件
Failed to perform multi track audio mixdown.,多轨音频混缩失败。
Preferences...,首选项...
Keys,快捷键
Export MIDI...,导出 SMF...
Reset the shortcuts for this command to its default setting?,你想恢复这个命令的默认快捷方式吗？
Delete Style Presets(_D),移除风格预置(_D)
Audio Engine Output,音频引擎输出
-,-
VOCALOID5/6 Sequence|*.vpr|All Files|*.*,VOCALOID5/6 序列|*.vpr|所有文件|*.*
An error occurred while closing the dialog. Discard changes and exit dialog.,对话框关闭时出错。对话框将会关闭，且编辑过的信息将会消失。
Preferred Language,首选语言
Chinese,中文
Import tempo and time signature,导入曲速和拍号
Forward Split,向前拆分
Singing Skill,歌唱技巧
Keyboard Shortcuts,自定义快捷键
New Style Preset Name,新风格预置名
Transpose,转置
Failed to paste.,粘贴失败。
English,英语
Insert Position:,插入位置:
Quit VOCALOID6 Editor,退出 VOCALOID6 编辑器
A style preset with this name already exists. It cannot be overwritten.,同名的风格预置已存在，因此无法覆盖。
Extract Lyrics(_X),提取歌词(_X)
Failed to move Time Signature.,移动拍号标志失败。
Staccato,断奏
Failed to initialize VSM.,初始化 VSM 失败。
Ctrl+V,Ctrl+V
"In order to improve the quality of this software/service, this software sends data that does not identify individuals to third parties. Yamaha and concerned third-parties collect and store data related to the use of this software, including customer access conditions, devices, OS versions and numbers of users.
Do you permit transmission of software use conditions?",为了提高本软件的质量，本软件将会某些非个人身份信息传输给第三方公司。雅马哈将和此类第三方公司将收集和储存有关您使用本软件的信息，包括您的网络访问、设备信息、操作系统版本、作品信息和声库信息。你是否授权传输它们？
Add VOCALOID:AI Track(_I),新增 VOCALOID:AI 音轨(_I)
Line,直线
Lyric Input Mode,歌词输入模式
https://www.yamaha.com/en/apps_docs/apps_dmi/dmi_PP_GA-20220412EN.html,"https://www.yamaha.com/en/apps_docs/apps_dmi/dmi_PP_GA-20220412EN.html "
Failed to add Tempo.,添加曲速控点失败。
Backward Split,向后拆分
"Save the changes? If not, the changes are lost.",保存更改吗？不保存则之前所作的更改将被舍弃。
Repeat,重复
Update Now (Launch Browser),现在更新 (启动浏览器)
Timing,音素时值
A media file with this name already exists. It cannot be overwritten.,同名的媒体素材已存在，因此无法保存。
Failed to add control parameter.,添加控制参数失败。
Save As,另存为
Automatically check for updates,自动检查更新
Name Empty.,未输入名称。
Vibrato(_I),颤音(_I)
AI Parameter,AI参数
"Allow connection with VOCALOID Bridge plugin
(requires reloading the VOCALOID Editor plugin)",允许连接到VOCALOID Bridge插件 (VOCALOID编辑器插件需要重新加载）。
Paste Special,粘贴特殊部分
Overwrite the shortcut key?,覆盖快捷键吗？
Style,样式
Auto Scroll,自动滚动
Export to Audio File...,导出至音频文件...
Transport,播放控制
Failed to duplicate Tempo.,克隆曲速控点失败。
https://www.vocaloid.com/en/learn,"https://www.vocaloid.com/en/learn "
Part Name,乐段名
Failed to initialize Media Manager.,初始化媒体资源管理器失败。
"Too many characters have been entered, and they have been truncated to {0} characters.",输入的字符过多，已被截断为{0}个字符。
Edit,编辑
Japanese,日语
Tracks that exceeded the track limit have been deleted.,超出音轨限制的轨道已被删除。
Audio device not found.,找不到音频设备。
TimeSig Track,拍号轨道
Audio device was changed.,音频设备已改变。
Join Notes,合并音符
Shift_JIS,Shift_JIS
Import,导入文件...
Solo,独奏
Mute,静音
Zoom In Horizontally,横向放大
Failed to perform Half Tempo.,执行曲速减半失败。
About VOCALOID6 Editor...,关于 VOCALOID6 编辑器...
Getting content information.,获取内容信息中。
Expression,情绪
Stereo,立体声
Failed to edit pitch.,编辑音高失败.
Zoom Out Vertically,垂直缩小
Duplicate Track,复制轨道
Audio File...,音频文件...
Failed to divide Audio part.,分割音频乐段失败。
Clear Cache,清空缓存
Tag Name,标签名
Failed to add VOCALOID:AI track.,添加 VOCALOID:AI 音轨失败。
Korean,韩语
Robot Voice could not be found.,找不到机械音。
Strong,强
Change Pitch,改变音调
Trial period,正在试用期间
Project Settings...,项目设置...
Mixer,混音
Installed Products,已安装的产品
Zoom to Selected Parts,缩放至选定乐段
Following Drift,领唱深度
Reset Lyrics,重置歌词
Failed to mixdown audio.,混缩音频失败。
The Wav file could not be loaded.,无法加载WAV文件。
Audio,音频
Show or Hide Lower Zone,显示或隐藏下方区域
"Failed to perform time stretch. Error ",报错:时值拉伸失败。
Select All Notes(_N),全选音符(_N)
Do you want to save,你想保存此序列吗？
Default Singing Skill could not be found.,找不到默认歌词技巧。
Set Repeat to Selection Range,将选中乐段作为重复区间
Zoom Full,显示完整的音轨视图
Edit Style Preset Properties(_E),编辑风格预置属性(_E)
Lyrics,歌词
Next Grid,下一个网格
Open Recent...,最近打开...
Data Use,数据使用
Metronome,节拍器
One track,单轨
Insert Lyrics,插入歌词
Download New Content...,下载新内容...
Transpose Split Note:,转置拆分音符:
Phoneme Lock(_P),锁定音标(_P)
MIDIPart Property,MIDI 乐段属性
Save As...,另存为...
Double Tempo,曲速翻倍
Set Start Marker to Song Position(_S),将开始标记设定至光标位置(_S)
Toggle Play/Stop,切换播放/停止
Close,关闭
Media Name,媒体素材名
Play,播放
Normalize Audio Wave(_N),对音频波形进行响度匹配(_N)
Sampling Rate,采样率
Audio Effect,音频效果
Sound Preview,声音预览
Extract Lyrics,提取歌词
Save Style,保存风格
Ctrl+C,Ctrl+C
Latest,最新
Failed to open preset file.,加载快捷键文件失败。
None,无
Add,添加
Weak,弱
Transpose,转置
---,---
Transpose:,转置:
OK,确定
Create,创建
Edit Style Preset Properties,编辑风格预置属性
Job,工作
Edit Song Position,编辑歌曲位置
Spanish,西班牙语
Bit,位
Tempo Track,曲速轨道
Divide Note Equally(_D),均等分配音符(_D)
Purchase a license,从VOCALOID SHOP购入
Expired,试用已过期
Duplicate(_D),为选中元素创立副本(_D)
"No voice has been installed.

The VOCALOID6 Editor requires at least one installed voice to launch.

Please install one separately.","没有安装声库。

要启动VOCALOID6编辑器，必须安装一个或多个声库。

请额外安装它们。"
English,英语
VOCALOID3/4 Sequence|*.vsqx|All Files|*.*,VOCALOID3/4 序列|*.vsqx|所有文件|*.*
Relaunch VOCALOID Editor to apply changes.,请重新启动 VOCALOID 编辑器以应用更改。
Failed to import file.,导入文件失败。
Failed to delete media.,删除媒体素材失败。
Delete Audio Effect(_D),移除音频效果(_D)
Horizontal Scroll,水平滚动
Different tracks,不同轨道
Permit transmission of software use conditions,允许软件传输使用状况信息
Track Color,轨道颜色
Copy,复制
Failed to set audio device.,音频设备设定失败。
Failed to initialize G2PA Manager.,初始化 G2PA 管理器失败。
{0} days remaining,还剩 {0} 天
Pitch(_P),音高(_P)
Failed to save file. VOCALOID project size exceeds 2GB.,保存文件失败。VOCALOID 工程文件大小超出 2GB。
Auto Scroll,自动滚动
Failed to move VOCALOID part.,移动 VOCALOID 乐段失败。
Vowel,元音
"VOCALOID6 Editor cannot launch because the VOCALOID6 Standalone Version, VSTi Version, or AU Version is already running.",VOCALOID6 编辑器不能启动。因为 VOCALOID6 独立版、VSTi 版或 AU 版正在运行。
Export,导出
Remove,删除
Protect Phonetic Symbol:,保护音标:
Style is not Selected.,未指定风格。
Inspector,属性窗格
Assign,注册
The file name contains invalid characters.,文件名包含不合法字符。
Failed to move track.,移动音轨失败。
Reference Manual,参考手册
Add Part to Media(_M)...,将乐段加入媒体资源(_M)...
Following Transition,音高过渡结束
Double Tempo,曲速翻倍
Phonetic Symbols Split:,音标拆分:
Track Name,音轨名称
Add VOCALOID Part to Media,向媒体资源中加入 VOCALOID 乐段
Failed to add Time Signature.,添加拍号标志失败。
"VOCALOID6 Editor not authorized.

Please enter a valid VOCALOID6 serial code into the VOCALOID Authorizer.

Authorize now?

(Clicking [Authorize now] will launch the VOCALOID Authorizer.)","VOCALOID6编辑器未激活。

请在VOCALOID激活器中输入VOCALOID6的序列号进行激活。

现在激活吗？

(点击[立即激活]以启动VOCALOID激活器。）"
Stop,停止
Add Audio Part to Media,向媒体资源中加入音频片段
Import,导入文件...
Cache Capacity,最大缓存容量
Rename Preset,改变预置的名称
Modified,修改过
Insert Lyrics...,插入歌词...
Japanese,日语
An archive entry was not found or was corrupt.,没有找到存档条目或存档条目已损坏。
Export to Audio File,导出至音频文件
Transpose(_T),转置(_T)
Progress,正在处理
Duplicate,为选中元素创立副本
Divide Note Equally,均等分配音符
Editor,编辑器
Number of divisions:,分割数量:
View,视图
Attack Effect,Attack
Import tempo and time signature?,要导入曲速和拍号信息吗？
Korean,韩语
Half Tempo,曲速减半
Rewind by Bar,按条倒带
Failed to duplicate Time Signature.,克隆拍号控点失败。
VOCALO CHANGER,人声转换器
Quantize 50%,量化 50%
General,通用
Cache Size,缓存大小
Failed to move Track Volume.,移动音轨音量控点失败。
Tutorial,指引
"The edited data will be discarded.
This action cannot be undone.
Do you wish to continue?",未保存的数据将被丢弃。你确定吗？
Redo,重做
Pitch Pencil,铅笔
Scissors(_S),裁剪(_S)
Languages,语言
Inspector,属性窗格
Rewind by Grid,按网格倒退
Failed to save media.,保存媒体失败。
Korean,韩语
VOCALOID Preset Files | *.vkeys,VOCALOID 预置文件 | *.vkeys
-,-
Failed to initialize Database Manager.,初始化数据库管理器失败。
Part - Paste Special,乐段 - 粘贴特殊内容
Voice Bank Version,声库版本
Enter preset name:,更改预置名称
VOCALOID,VOCALOID
Amplitude(_M),音量(_M)
Divide Note,分割音符
Release Effect,Release
Clear,清除
Show or Hide Control Parameters Area,显示或隐藏控制参数区域
Failed to delete Track Volume.,删除音轨音量控点失败。
Reset Control Parameters to Default,将控制参数重置为默认值
Overlapping notes are truncated to the length of the next note.,重叠的音符将被截断为下一个音符的长度。
Medium,中
Please purchase the full-featured version.,请购买完整版本。
Lite version does not support VST/AU functionality.,精简版不支持 VST/AU 功能。
Don't check for updates upon launch.,启动时不检查更新
Add Track...,新增音轨...
Set Start Marker to Song Position,设定开始标记至光标位置
Mono,单声道
Audio Mixdown,音频混缩
Resolve Overlaps,解决重叠
Export to Audio File(_E)...,导出至音频文件(_E)...
Untitled,无标题
Failed to save changes. Discard changes and exit dialog.,保存编辑信息失败。对话框将会关闭，且编辑过的信息将会消失。
Failed to copy.,复制失败。
Failed to initialize user configuration file. VOCALOID Editor will now close.,初始化用户配置文件失败。VOCALOID 编辑器将关闭。
note,音符
There are short notes that cannot be split.,有一些短音符不能被拆分。
Following Depth,跟随深度
A file with this name already exists. Overwrite existing file?,现有的文件已经存在，覆盖它吗？
System shortcut path does not exist.,系统快捷方式的路径不存在
Resolve Overlaps(_N),解决重叠(_N)
Version,版本
Add New Type,新建类型
Preferences,首选项
VOCALOID Sequence|*.vpr;*.vsqx|All Files|*.*,VOCALOID 序列|*.vpr;*.vsqx|所有文件|*.*
Shift Lyrics Left,歌词整体左移一格
Emotion(_E),情绪(_E)
Zoom,缩放
Lyric:,歌词:
Failed to add VOCALOID part.,添加 VOCALOID 乐段失败。
Leading Drift,前领音量
Set End Marker to Song Position(_E),将结束标记设定至光标位置(_E)
Copy,复制
Extract Lyrics,提取歌词
Staccato,断奏
Stereo Out R,立体声输出 R
Paste Special,粘贴特殊部分
VOCALOID6 Sequence|*.vpr,VOCALOID6 序列|*.vpr
Delete,删除
Staccato Type:,断奏类型:
Failed to initialize Style Manager.,初始化风格管理器失败。
Paste Special,粘贴特殊部分
Add Track...,新增音轨...
The voice banks that are not installed are used in the project.,未安装该工程所使用的音源。
They will be replaced with the installed ones.,已变更到已安装的音源。
Audio Mixdown,音频混缩
Job(_J),工作(_J)
VOCALOID6 Editor,VOCALOID6 编辑器
Audio,音频
Leading Depth,领唱深度
Cut(_T),剪切(_T)
Failed to move Main Volume.,移动主音量控点失败。
Effect List,效果列表
Phonetic Symbol Mode,输入音标
Track Selection,音轨选择
Failed to add VOCALOID track.,添加 VOCALOID 音轨失败。
Failed to initialize DSE.,DSE 初始化失败。
Failed to get content information.,获取内容信息失败。
Audio Mixdown...,音频混缩...
Select All Time Signatures(_T),全选拍号标志(_T)
Failed to edit vibrato.,编辑颤音失败。
Failed to duplicate VOCALOID Part.,克隆 VOCALOID 乐段失败。
Failed to resize Audio part.,重设音频乐段大小失败。
Edit Media Properties(_E),编辑媒体素材属性(_E)
Failed to cut.,剪切失败。
Edited Pitch,音高
Paste Special,粘贴特殊部分
Sampling Rate,采样率
MAIN,MAIN
Part Duration,乐段长度（小节）
Grid - 1/8,网格 - 1/8
Grid - 1/4,网格 - 1/4
Grid - 1/2,网格 - 1/2
Grid - 1/1,网格 - 1/1
Global Solo,全局独奏
Global Mute,全局静音
UTF-8,UTF-8
(Unset),(未设定)
"Fatal Error: Failed to write synthesized audio file.

Please save your project under a different name and then relaunch the application.","致命错误：无法写入合成的音频文件。

请将您的项目保存为其他名称，然后重新启动应用程序。"
(remaining {0} voices),剩余 {0} 个声库
Cut,剪切
Mixer,混音
Media,媒体
Paste,粘贴
Voice banks are not available,服务器错误。
Server Error.,服务器错误。
Vibrato Start,颤音开始
Your software is up to date.,你的软件已是最新版本。
Select All,全选
Activate VOCALOID6 products.,请您激活 VOCALOID6 产品。
Plugin,插件
Middle Expression,中部音量
Delete,删除
Pitch Pencil,铅笔
Failed to add Audio part.,添加音频乐段失败。
Set Repeat to Selection Range,将选中乐段作为重复区间
Japanese,日语
Add New Genre,新建流派
Add New Color,添加新音色
Zoom In Vertically,垂直放大
Pitch Eraser,铅笔
Media Pasting Key Transposition Settings,媒体素材应用时的移调设定
Failed to delete control parameter.,删除控制参数失败。
Remind Me Later,稍后再说
Note,音符
Take,Take
Are you sure you want to delete this media? This action cannot be undone.,你确定要删除此媒体素材吗？此操作不可撤销。
Check for Updates...,检查更新...
Reset Control Parameters to Default,将控制参数重置为默认值
Add Part to Media...,添加乐段至媒体...
Failed to duplicate.,复制失败。
Failed to initialize Audio Engine.,初始化音频引擎失败。
Remove the selected shortcut key?,你想删除这个快捷键吗？
Pitch Eraser,铅笔
VPR File...,VPR 文件...
The user configuration file will be initialized because it is corrupted.,用户配置文件损坏，将初始化配置。
Split Note,分割音符
Join Events,合并事件
Add VOCALOID Track,添加 VOCALOID 音轨
Insert audio on one track or insert each on different track?,将音频插入一个轨道还是将每个音频插入不同的轨道？
Connecting to ReWire,正在连接 ReWire。
Edit Media Properties,媒体素材属性
No overlapping notes.,没有重叠的音符。
Failed to get updater information.,获取更新信息失败。
Installation Interrupted.,安装中断。
"VOCALOID6 Editor not authorized.

Please enter a valid VOCALOID6 serial code into the VOCALOID Authorizer.","VOCALOID6编辑器未激活。

请在VOCALOID激活器中输入VOCALOID6的序列号进行激活。"
Voice Bank Version...,声库版本...
Freeze,冻结
Command,命令
Grid,网格
ExportSMF,导出SMF
Shift Lyrics Left(_L),歌词整体左移一格(_L)
Leading Transition,前部表达
Failed to optimize project data for the current version of VOCALOID Editor.,无法优化当前版本的VOCALOID编辑器的项目数据。
Channel,频道
Discard preset changes?,要放弃预设编辑吗？
Too long names are not loaded.,名称太长而无法加载。
The following voice has not been authorized.,下列声音还未激活。
Privacy Policy,隐私政策
MIDI Device,MIDI 设备
Failed to edit note.,编辑音符失败。
Voice Bank Name,声库名
Update now?,是否现在更新？
A new version of VOCALOID Editor is available to download.,新版本的VOCALOID已经可以下载。
Details,详细
VOCALOID Default Voice,VOCALOID 默认声音
Discard,丢弃
Spanish,西班牙语
Close,关闭
File,文件
API Error.,API 错误。
Preventing double start,防止重启
Create Part on Song Position(_P),在光标位置创建乐段(_P)
Failed to perform Double Tempo.,无法加倍曲速。
Normalize Audio Wave,归一化音频波
Voice,声音
Main Track,主音轨
Failed to delete.,无法删除。
Stereo Out L,立体声输出 L
Reset Lyrics(_R),重置歌词(_R)
Setting,设置
Control Panel,控制面板
Split Note,分割音符
The cache clearing process is performed when closing the current project.,缓存清除过程在关闭当前项目时执行。
Audio Device,音频设备
Song Position,歌曲位置
-,-
Pitch,音高
Add Track,添加轨道
{0} day remaining,还剩 {0} 天
Ctrl+X,Ctrl+X
This application is already running.,此应用已在运行。
Arrow(_A),箭头(_A)
Attack & Release Effect,Attack & Release 效果
Number,序号
Revert,回复最后保存的状态
Failed to perform partial audio mixdown.,无法执行部分音频混音。
Half Tempo,曲速减半
Fine Tune,细间距
Record,录音
Failed to open explorer.,无法打开文件资源管理器。
Failed to move Panpot.,无法移动Panpot。
Following Expression,向后表达式
Open folder after export to audio file,打开所导出音频的文件夹
(New),(新)
Create Time Signature on Song Position(_N),添加拍号标志(_N)
English,英语
VOCALOID:AI Default Voice,VOCALOID:AI 默认声音
News...,新闻...
Additional VOCALOID content is available to download.,其他VOCALOID内容可供下载。
Add New Color,添加新音色
Repeat(_R),重复(_R)
Main Track,主音轨
Timeout Wait Time (sec),超时等待时间（秒）
Add New Type,新建类型
Select All(_A),全选(_A)
Pre-roll play (0.5 seconds),预滚播放 (0.5秒)
None,无
Grid - 1/64,网格-1/64
Gird - 1/32,网格-1/32
Grid - 1/16,网格-1/16
Paste(_P),粘贴(_P)
MIDI File...,导出 MIDI文件...
Delete Media(_D),移除媒体素材(_D)
The path name is too long.,路径名称过长。
Media,媒体
New,新建
Import - Audio File,导入 - 音频文件
Network Error.,网络错误。
Revert to the previously saved version?,是否恢复到以前保存的版本？
Failed to edit amplitude.,无法编辑音量。
Import - VSQX File,导入 - VSQX 文件
Import - MIDI File,导入 - MIDI 文件
"Please enter the applicable serial code for this voice into the VOCALOID Authorizer.
(Voicebanks whose authorization grace periods have expired will not play.)

Authorize now?

(Clicking [Yes] will launch the VOCALOID Authorizer.)","需要在VOCALOID激活器中输入相关声库的序列号进行激活。
(已经过了试用期的声库将不可使用）

现在激活吗？

(点击[是]，启动VOCALOID激活器）"
Failed to edit control parameter.,无法编辑控制参数。
VOCALOID:AI,VOCALOID:AI
SMF|*.mid;*.midi,SMF|*.mid;*.midi
Chinese,中文
Audio file cannot be found.,找不到音频文件。
"Failed to export Audio File this place. : Error ","无法在此导出音频文件。错误 "
Failed to delete style preset.,无法删除风格预设。
vocaloid.com,vocaloid.com
Rate,速度
VOCALOID6 Editor,VOCALOID6 编辑器
Pitch,音高
Failed to duplicate Track Volume.,无法复制音轨音量。
Character encoding of lyrics,歌词字符编码
Pencil,铅笔
Installation Error.,安装过程错误。
About VOCALOID6 Editor,关于 VOCALOID6 编辑器
Failed to delete Main Volume.,无法删除主音量。
Depth,深度
Pencil(_P),铅笔(_P)
Failed to add Panpot.,无法添加Panpot。
Number of overlapping notes:,重叠音符的数量:
Vibrato,颤音
https://rsc-net.vocaloid.com/assets/pdf_files/bb/VOCALOID_Reference_Manual_ENG.pdf,https://rsc-net.vocaloid.com/assets/pdf_files/bb/VOCALOID_Reference_Manual_JPN.pdf
Free trial,可以免费试用
"Failed to reverse audio wave. Error ","无法反转音频波形。错误 "
Failed to resize VOCALOID Part.,无法调整VOCALOID 片段。
8GB,8GB
1GB,1GB
4GB,4GB
2GB,2GB
This name contains space.,名称中含有空格。
The following Voice Banks that can be updated.,下列声库可以升级。
Failed to add Track Volume.,无法增大轨道音量。
Authorize now,现在激活
Character encoding of lyrics,歌词字符编码
Max:,最大：
Media,媒体
Failed to open URL.,无法打开URL。
Get Cache Size,获取缓存大小
Insert Silence,插入无声部分
Import - VPR File,导入 - VPR文件
Load pre-installed media,加载已安装媒体
Add Audio Track,添加音频轨道
Paste,粘贴
Import - Tempo and Time Signature,导入 - 曲速和拍子
MSD and Export to WAV(_W)...,导出带MSD的 WAV文件(_W)...
Record,录音
Editor,编辑器
Join Parts(_J),合并乐段(_J)
Default Lyric,默认歌词
Failed to save style preset file.,无法保存风格预设文件。
Grid - Off,网格 - 关闭
Edit Part Name,乐段重命名
Shift Lyrics Right,右移歌词
Quantize 50%,量化 50%
Change Lyric Input Mode,更改歌词输入模式
Add,添加
Spanish,西班牙语
Select All Tempos(_T),全选曲速标志(_T)
Failed to save project file.,无法保存工程文件。
Save,保存
Delete(_D),删除(_D)
Bit Depth,位深度
Failed to delete preset file.,无法删除预设文件。
Keyboard Shortcuts...,快捷键...
Return to start position on stop,停止时返回到播放开始位置
Please check the websites of Voice Bank vendors.,请查看声库发行公司的主页。
Paint Tool Group,绘制工具组
Wave File|*.wav|All Files|*.*,波形文件|*.wav|所有文件|*.*
Failed to duplicate Audio part.,无法复制音频片段。
Getting Updater Information.,获取更新信息。
(Extension),(扩张)
Rename,变更预置名称
Import Settings,导入设定
Failed to write preset file.,无法写入预设文件。
Failed to add Main Volume.,无法增大主音量。
Failed to Freeze.,冻结失败。
"No voice has been installed.
The VOCALOID6 Editor requires at least one installed voice to launch.
Please install one separately.",没有安装声库。要启动VOCALOID6编辑器，必须安装一个或多个声库。请额外安装它们。
"VOCALOID6 Editor not authorized.
Please enter a valid VOCALOID6 serial code into the VOCALOID Authorizer.
Authorize now?
(Clicking [Authorize now] will launch the VOCALOID Authorizer.)",VOCALOID6 编辑器未激活。请在VOCALOID激活器中输入VOCALOID6的序列号进行激活。现在激活吗？(点击[立即激活]以启动VOCALOID激活器）。
"Fatal Error: Failed to write synthesized audio file.
Please save your project under a different name and then relaunch the application.",致命的错误:输出音频文件失败。请另存本项目，并重新启动应用程序再次尝试。
New Voice,新音源
Original Voice,原音源
A media file with this name already exists. It cannnot be overwritten.,相同媒体名已存在，不能覆盖。
AudioDevice not found.,没找到音频设备。
AudioDevice changed.,音频设备已经改变。
Set start marker to song position(_S),将开始标记设定至光标位置(_S)
Faild to open preset file.,无法打开预设文件。
Failed to edit formant.,无法编辑格式。
Join Parts,合并片段
Cannot add more tracks. Track count is at the limit.,不能添加更多轨道。轨道数受限。
Set end marker to song position(_E),将结束标记设定至光标位置(_E)
Voice Bank used in project not installed.,未安装该工程所使用的音源。
Changed to installed Voice Bank.,已变更到已安装的音源。
Add Audio Effect(_A),添加音频效果(_A)
Voice Bank not installed,未安装音源
"Cannot add more tracks.
The track count is at the limit.","无法添加更多曲目。
曲目数量已达到极限。"
Frailed to duplicate Track.,无法复制轨道。
PhonemeTiming(_H),音素时值(_H)
